Unit	Date	Asia	Avtovaz	Bmw  rover	Changan	China first acg	Daewoo	Daimlerchrysler	Fiat	Ford	Fuji-subaru	G.m.	Gaz	Hino	Honda	Hyundai	Isuzu	Kia	M.a.n.	Mazda	Mitsubishi	Navistar	Nissan	Other makes	Paccar	Proton	Psa peugeot citroen	Renault	Samsung	Scania	Ssangyong	Suzuki - maruti	Toyota-daihatsu	Volkswagen	Volvo	Yuejin	Dongfeng  mc	Tata	Bmw	Fiat-iveco	Groupe vw	Hyundai-kia	Kamaz	Mg rover	Nissan-nissan diesel	Perodua	Porsche	Renault-dacia-samsung	Roslada	Tata (telco)	Toyota-daihatsu-hino	Uaz	Avtovaz-seaz	Beijing aig (without isuzu)	Chana ag	Cnaic (changhe&harbin)	Daimlerchrysler (with evobu	Faw group (without vw)	Fiat-iveco (with irisbus)	Fuji (subaru)	Gaz-paz	General motors	Hindustan	Ijmash-avto-roslada	Mahindra&mahindra	Volkswagen group	Chana ag(without suzuki)	Daimlerchrysler(with mercedes-chrysler-dodge-smart-fl-evobus)	Dongfeng (without citroã«n)	Fiat-iveco (with alfa-romeo-lancia-ferrari-irisbus)	Ford (with us makes-volvo cars- jaguar)	General motors (with us makes-opel-vauxhall)	Gm-daewoo	Ijmach avto	Saic (without gm&vw)	Volkswagen group (with vw-audi-seat-skoda)	Daihatsu	Ford (jaguar-volvo cars)	General motors (opel-vauxhall)	Nanjing auto	Saic -cherry auto	Toyota	Chery auto	Faw group (without vw, toyota, mazda)	Gm-daewoo (with dimc)	Great wall motor	General motors (opel-vauxhall-gm daewoo)	Saic-sangyong (without gm&vw)	Anhui jiangghuai	Beijing automobile	Brilliance	Byd	Chana automobile	Chery	China national	Chrysler	Daimler	Faw	Fuji	Fujian	Geely	Great wall	Harbin hafei	Jiangxi changhe	Mahindra	Psa	Saic	Shangdong kaima	Shannxi auto	Suzuki	Beijing automotive	Chongqing lifan	Daimler ag	Dongfeng	Kuozui	Luaz	Chenzhou ji'ao	Guangzhou auto	Hebei zhongxing	Qingling motor	Ziyang nanjun	Anhui jac automotive	Chen zhou gonow nanyan chifeng motor vehicle	Fujian motor	Hafei motor	Hunan jiangnan automobile	Jiangxi jiangling automotive	Rongcheng huatai motor	Baic	Chongqing lifan  motor co.	Guangzhou auto industry	Hunan jiangnan automobile manufacturing co	Iran khodro	Jac	Saipa	Shannxi	South east (fujian)	Ashok leyland	Guihang youngman lotus	Haima automobile	Haima cars	Hunan jiangnan	Rongcheng huatai
Number	1998		6e+05	1175000			727000	1925000	2303000	3600000	460000	5090000	1e+05		2219000	704000	46000	282000		818000	1085000		2089000	593000		96000	1830000	1943000	42000		33000	1058000	4200000	4506000	399000	2000																																																																																																											
Number	1999		718000	1121000			890000	1997000	2234000	3534000	491000	5344000	125000		2249000	1018000	40000	657000		816000	1108000		1911000	332000		172000	2042000	1976000	6000		74000	1216000	4328000	4519000	407000			71000																																																																																																									
Number	2000		755997		1e+05		689766	2043376		4038670	500238	5266263	116319		2286771		102911			796353	1271590						2493980		13416		91407	1196770							834628	2185897	4859478	2023032	33561	174885	2045371	70000	51574	2101855	31941	90122	4681435	40250																																																																																											
Number	2001						469520			3699258					2608773		100959			779970	1242138						2710472				100315	1161712							946730			2087500	37837	163144	1966844		56746	2070369		54464	5021259	35302	786008	4653	32328	121288	2392992	21488	1928696	478971	80692	4663399	20467	71182	56380	4881096																																																																													
Number	2002		703040										65648		2930688		41233			864255	1406330		2164621				2894030				143412	1345806							1090258			2185002	38735	147037			55903	2049809	41424	77097	5555111	33648		9602		137916		77466		460822			19969				57227	1998946	50255	1710439	3606715	4900561	379441	65751	51823	4829456																																																																			
Number	2003		699888										56783		2868705		25949			960935	1303439		2363155				2934641				144416	1455411							1118940	1619185		2275535	40016	132789			81324	2110557	27649	140670		32748					1819973	214851		458163			15098			4843085							500639	78495			725060	3320706	4682656	99469	101141	5369176																																																													
Number	2004		717985										65686		3183269		14620			1042849	1110679		2423893				3004710				131536	1639366							1250345			2377546	41207	106088			84095	2163620		179046		31136					1913693		1583501	512953					78940	4892529								82687			785166	3497334	4502680	94551		5869629	79565	50009	869382	54904																																																									
Number	2005		721492										51596		3324282					1091756	998043		2697362				2982690					1723022							1323119			2726600	30361	29104			98135	2195162		163089		29141					1965410		1539576	508281						4979487								42582			803176	3514496		111397		6157038	185588	58817		67657	5657225	131536																																																							
Number	2006		765627						1755663	3956708		5779719	51740		3549787	2003608		1186894		1169640	1008970		2512519	218769				2137016						5429896			257873	237856	1366838								98512					28636																									905932					6800228							63343	297528	190377	60135	446692	319389		748337	1275152	393754	507552	49145	207149	39566	265019	136739	91120	2961437	206627			2004310																																	
Number	2007		735897						1990715	3565626		6259520	39138		3868546	2292075		1286299		1165660	1100528		2650813	189057				2276044						5964004			437035	243251	1541503								107170					31869																									711595					7211474							209880		293588	100376	543787	427882	100202	754855	1335226	690712	512606	84138	216774	122605	231488	112083	104441	3024863	313002	65790	68160	2284139	454272																																
