Год	Ед. Изм.	Страна	Объем
2004	млн штук	Германия	5.870228
2004	млн штук	Китай	0.339125
2004	млн штук	Япония	5.210906
2004	млн штук	Республика Корея	1.805709
2004	млн штук	Испания	2.296422
2004	млн штук	Соединенные Штаты Америки	1.831077
2004	млн штук	Словакия	0.170344
2004	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	1.220618
2004	млн штук	Бельгия	1.766757
2004	млн штук	Канада	2.138328
2004	млн штук	Чехия	0.367899
2004	млн штук	Франция	2.867787
2004	млн штук	Индия	0.182414
2004	млн штук	Таиланд	0.144086
2004	млн штук	Турция	0.320505
2004	млн штук	Польша	0.484563
2004	млн штук	Индонезия	0.01309
2004	млн штук	Марокко	0.000129
2004	млн штук	Румыния	0.018825
2004	млн штук	Италия	0.583166
2004	млн штук	Нидерланды	0.263714
2004	млн штук	Швеция	0.31185
2004	млн штук	Бразилия	0.543446
2004	млн штук	Португалия	0.178011
2004	млн штук	Южная Африка	1.173346
2004	млн штук	Швейцария	0.109058
2004	млн штук	Австрия	0.271085
2004	млн штук	Китайский Тайбэй	0.282133
2004	млн штук	Словения	0.146512
2004	млн штук	Аргентина	0.093547
2004	млн штук	Дания	0.036924
2004	млн штук	Литва	0.132392
2004	млн штук	Финляндия	0.049687
2004	млн штук	Хорватия	0.000211
2004	млн штук	Сингапур	0.102809
2004	млн штук	Норвегия	0.003016
2004	млн штук	Уганда	0.012359
2004	млн штук	Эстония	0.017195
2004	млн штук	Люксембург	0.028069
2004	млн штук	Колумбия	0.02164
2004	млн штук	Армения	2.9e-05
2004	млн штук	Болгария	0.000289
2004	млн штук	Малайзия	0.014544
2004	млн штук	Таджикистан	0.000361506396139669
2004	млн штук	Чили	0.001288
2004	млн штук	Китай, Специальный административный район Гонконг	0.034616
2004	млн штук	Казахстан	0.005338
2004	млн штук	Латвия	0.001327
2004	млн штук	Кыргызстан	9.6e-05
2004	млн штук	Пакистан	0.000138
2004	млн штук	Багамские Острова	0.000545
2004	млн штук	Токелау	2e-06
2004	млн штук	Бахрейн	0.00197
2004	млн штук	Сербия	0.000865118340539215
2004	млн штук	Намибия	0.002137
2004	млн штук	Ирландия	0.015507
2004	млн штук	Азербайджан	4.5e-05
2004	млн штук	Панама	0.000941396175258317
2004	млн штук	Ботсвана	0.002825
2004	млн штук	Иордания	0.003318
2004	млн штук	Гватемала	0.000501
2004	млн штук	Беларусь	0.000123
2004	млн штук	Украина	0.006096
2004	млн штук	Филиппины	0.011858
2004	млн штук	Монголия	2.6e-05
2004	млн штук	Израиль	0.000685
2004	млн штук	Андорра	0.001335
2004	млн штук	Тунис	0.000488
2004	млн штук	Сейшельские Острова	1.33900861504211e-05
2004	млн штук	Гана	0.000136
2004	млн штук	Исландия	0.003621
2004	млн штук	Гибралтар	0.001529
2004	млн штук	Республика Молдова	0.000197
2004	млн штук	Босния и Герцеговина	0.000287
2004	млн штук	Сенегал	0.000249
2004	млн штук	Египет	0.000243
2004	млн штук	Черногория	2.36243169997717e-05
2004	млн штук	Замбия	2.4e-05
2004	млн штук	Нигер	6.4e-05
2004	млн штук	Фарерские острова	1.07520316462893e-06
2004	млн штук	Буркина-Фасо	0.000167
2004	млн штук	Кот-д'Ивуар	0.003843
2004	млн штук	Кипр	0.007897
2004	млн штук	Коста-Рика	2e-06
2004	млн штук	Ангола	0.000285019419660698
2004	млн штук	Габон	4.1e-05
2004	млн штук	Острова Уоллис и Футуна	1.99349698291395e-06
2004	млн штук	Кения	0.001629
2004	млн штук	Сальвадор	1.6e-05
2004	млн штук	Северная Македония	4.7e-05
2004	млн штук	Доминиканская Республика	0.000506
2004	млн штук	Маршалловы Острова	1e-06
2004	млн штук	Мальта	0.002696
2004	млн штук	Эквадор	0.002449
2004	млн штук	Гондурас	6.4e-05
2004	млн штук	Конго	5.73618656615787e-05
2004	млн штук	Демократическая Республика Конго	0.000180904393832441
2004	млн штук	Либерия	0.0033850863950794
2004	млн штук	Эсватини	0.001885
2004	млн штук	Перу	0.000385
2004	млн штук	Никарагуа	2.3e-05
2004	млн штук	Гвинея	2e-06
2004	млн штук	Сьерра-Леоне	0.000285240590217173
2004	млн штук	Мали	5.8e-05
2004	млн штук	Камерун	1.1e-05
2004	млн штук	Парагвай	2e-06
2004	млн штук	Новая Зеландия	0.002724
2004	млн штук	Малави	6.2e-05
2004	млн штук	Мозамбик	4.2e-05
2004	млн штук	Того	2.4e-05
2004	млн штук	Тринидад и Тобаго	4.3e-05
2004	млн штук	Центральноафриканская Республика	5.78802134901839e-06
2004	млн штук	Эфиопия	2e-06
2004	млн штук	Фиджи	0.000641022408087574
2004	млн штук	Мадагаскар	5.8e-05
2004	млн штук	Боливия (Многонациональное Государство)	1.4e-05
2004	млн штук	Ливия	0.000137847547912201
2004	млн штук	Зимбабве	0.000495
2004	млн штук	Бенин	2.6e-05
2004	млн штук	Гренада	3.1e-05
2004	млн штук	Шри-Ланка	0.000171
2004	млн штук	Грузия	0.002673
2004	млн штук	Сент-Винсент и Гренадины	1.4e-05
2004	млн штук	Сент-Люсия	4.8e-05
2004	млн штук	Экваториальная Гвинея	1.9e-05
2004	млн штук	Алжир	1e-06
2004	млн штук	Новая Каледония	1.7e-05
2004	млн штук	Барбадос	8.3e-05
2004	млн штук	Лесото	4.75787942435258e-05
2004	млн штук	Остров Святой Елены	1e-06
2004	млн штук	Уругвай	0.000243
2004	млн штук	Мавритания	0.007135
2004	млн штук	Гамбия	4e-06
2004	млн штук	Бонайре, Синт-Эстатиус и Саба	2.31106166504086e-05
2004	млн штук	Белиз	1.8e-05
2004	млн штук	Антигуа и Барбуда	6.30290602974542e-05
2004	млн штук	Гайана	5e-06
2004	млн штук	Бруней-Даруссалам	0.000109
2004	млн штук	Синт-Мартен (нидерландская часть)	1.05389321766932e-05
2004	млн штук	Маврикий	7.9e-05
2004	млн штук	Суринам	4.1e-05
2004	млн штук	Южный Судан	3.99979999527277e-06
2004	млн штук	Гвинея-Бисау	2e-06
2004	млн штук	Аруба	1.71621580819793e-05
2004	млн штук	Туркменистан	1e-05
2004	млн штук	Камбоджа	0.000112
2004	млн штук	Доминика	4e-06
2004	млн штук	Кайман острова	7.3630667497096e-06
2004	млн штук	Острова Теркс и Кайкос	1.36056450953867e-05
2004	млн штук	Афганистан	5.40000000000001e-05
2004	млн штук	Сент-Китс и Невис	2.4e-05
2004	млн штук	Нигерия	2.89820024630032e-05
2004	млн штук	Судан	0.00031521877392663
2004	млн штук	Гренландия	1.00050211715315e-06
2004	млн штук	Острова Кука	5.91684693812873e-06
2004	млн штук	Бурунди	2.2e-05
2004	млн штук	Британские Виргинские острова	1.8e-05
2004	млн штук	Тимор-Лешти	0.000522
2004	млн штук	Суда и бункеры	1.02110702360416e-06
2004	млн штук	Ирак	2.82787610821705e-05
2004	млн штук	Куба	0.000227
2004	млн штук	Остров Норфолк	3.78067683774102e-06
2004	млн штук	Сирийская Арабская Республика	2.12621144819649e-05
2004	млн штук	Фолклендские (Мальвинские) острова	7.30101748173635e-05
2004	млн штук	Монтсеррат	1e-05
2004	млн штук	Лаосская Народно-Демократическая Республика	1.60699132862444e-05
2004	млн штук	Британская территория в Индийском океане	2e-06
2004	млн штук	Папуа-Новая Гвинея	2.3e-05
2004	млн штук	Северные Марианские острова	2e-06
2004	млн штук	Сен-Пьер и Микелон	2e-06
2004	млн штук	Тувалу	3.59625449349152e-06
2004	млн штук	Эритрея	1.3e-05
2004	млн штук	Коморские Острова	0.001774238033781
2004	млн штук	Непал	0.000536152394550723
2004	млн штук	Южные земли (французская заморская территория)	1.7e-05
2004	млн штук	Сан-Томе и Принсипи	1e-06
2004	млн штук	Тонга	1.15932147298491e-05
2004	млн штук	Объединенная Республика Танзания	0.000121
2004	млн штук	Самоа	5.00089996342243e-06
2004	млн штук	Греция	0.007588
2004	млн штук	Венгрия	0.151061
2004	млн штук	Ямайка	0.000139
2004	млн штук	Мальдивские Острова	3e-06
2004	млн штук	Мексика	147.547027
2004	млн штук	Китай, Специальный административный район Макао	0.000607395162165549
2004	млн штук	Кабо-Верде	8.24965234251123e-06
2004	млн штук	Французская Полинезия	0.000112
2004	млн штук	Мьянма	0.000458052222316408
2004	млн штук	Австралия	0.177891
2004	млн штук	Бермудские острова	5e-05
2004	млн штук	Бутан	2.4e-06
2004	млн штук	Бангладеш	5.8e-05
2004	млн штук	Албания	0.005419
2004	млн штук	Американское Самоа	1.6e-05
2004	млн штук	Соломоновы Острова	-7.51147821089429e-06
2004	млн штук	Остров Буве	1e-06
2004	млн штук	Чад	0.0030020832222815
2004	млн штук	остров Рождества	1e-06
2004	млн штук	Кокосовых (Килинг) островов	0.00011658722972033
2004	млн штук	Остров Майотта	1e-04
2004	млн штук	Ливан	0.000182
2004	млн штук	Кувейт	0.0462266285095986
2004	млн штук	Оман	4.99850414559994e-06
2004	млн штук	Науру	2e-06
2004	млн штук	Нидерландские Антильские Острова	0.000391016453895351
2004	млн штук	Кюрасао	0.000401
2004	млн штук	Корейская Народно-Демократическая Республика	0.002094
2004	млн штук	Гуам	1.3e-05
2004	млн штук	Иран (Исламская Республика)	0.005938
2004	млн штук	Гаити	0.00213580529832282
2004	млн штук	Государство Палестина	8.64052441294217e-05
2004	млн штук	Кирибати	1.00854720370277e-06
2004	млн штук	Йемен	0.000402
2004	млн штук	Сербия и Черногория	0.000751
2004	млн штук	Внешние малые острова Соединенных Штатов	9.2e-05
2004	млн штук	Узбекистан	0.0173200805446878
2004	млн штук	Венесуэла (Боливарианская Республика)	0.009985
2004	млн штук	Объединенные Арабские Эмираты	0.0819804380086065
2004	млн штук	Западная Сахара	2e-06
2004	млн штук	Судан (до 2012)	7.4e-05
2004	млн штук	Сомали	3e-06
2004	млн штук	Вьетнам	0.001432
2004	млн штук	Саудовская Аравия	0.022095
2004	млн штук	Ангилья	5.3e-05
2004	млн штук	Катар	0.0220129236641125
